Acupuncture,Clayton’s House stay,"Comfort Items (e.g., quilts, blankets, hats, port protectors, heart pillows, etc.)","Complementary Therapies Workshops (e.g., Virtual Reiki Group, Mindfulness Meditation or Acupressure for Calm, etc.)","Dempsey Dogs (e.g., interacting with a therapy dog in the Center, or at a Dempsey Center sponsored event)",Dempsey Soup Program,"Educational Workshop (e.g., Communicating with Your Healthcare Team, Fatigue Factor, Managing Cancer Side Effects with Cannabis/CBD, etc.)","Expressive Arts Workshop (e.g., Writing Through Cancer, Music for Wellness, etc.)",Individual Counseling,Legacy & Life Reflections,Massage Therapy,Movement & Fitness Classes/Workshops,Movement & Fitness Consult,Nutrition Consult,Nutrition Classes/Workshops,Reiki Session,Support Groups,Wig & Headwear Consult,Youth & Family Counseling,Youth & Family Classes/Workshops,Response,,Too long of a wait for services that I needed (when I needed them),Hours of operation,Times of services,Physical location of services,Transportation,Reliable internet access or lack of reliable hardware,I did not feel welcomed and/or comfortable at the Dempsey Center,,Age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Independent Living Difficulty (completing errands, visits, or appointments alone)",Prefer not to answer,Prefer to self-describe (please specify):,,,,Open-Ended Response
,,,,,,,,Individual Counseling,,,,,,,,Support Groups,,Youth & Family Counseling,,More than 10 times,,Too long of a wait for services that I needed (when I needed them),,,,,,,,45-54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prefer not to answer,,,,,I am very grateful for all the help we got from the Dempsey center.   I’m most sad that the ones I knew and started out with are now gone.   So we stopped services.   I can’t go through all that hurt and pain again with someone else who doesn’t know.   Sadly 
,,,,,,,,Individual Counseling,,,,,,,,Support Groups,,,,More than 10 times,,,,,Physical location of services,,,,,65-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acupuncture,,,,,,"Educational Workshop (e.g., Communicating with Your Healthcare Team, Fatigue Factor, Managing Cancer Side Effects with Cannabis/CBD, etc.)",,,,Massage Therapy,,,,Nutrition Classes/Workshops,Reiki Session,,,,,More than 10 times,,,,,,,,,,65-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thank you deeply for all that you do to make a cancer journey feel more manageable and less isolated. 
Acupuncture,,"Comfort Items (e.g., quilts, blankets, hats, port protectors, heart pillows, etc.)","Complementary Therapies Workshops (e.g., Virtual Reiki Group, Mindfulness Meditation or Acupressure for Calm, etc.)","Dempsey Dogs (e.g., interacting with a therapy dog in the Center, or at a Dempsey Center sponsored event)",,,,,,Massage Therapy,Movement & Fitness Classes/Workshops,Movement & Fitness Consult,,,,,,,,More than 10 times,,Too long of a wait for services that I needed (when I needed them),,,,,,,,65-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Diabetes, CIDP,  Chronic UTI",,,,Fantastic.  Always feel welcomed and cared about
,,,,,,,,,,,,,,,Reiki Session,,,,,1 time,,,,,,,,,,65-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,So glad I found scar treatment services thru the Center 
Acupuncture,,"Comfort Items (e.g., quilts, blankets, hats, port protectors, heart pillows, etc.)",,"Dempsey Dogs (e.g., interacting with a therapy dog in the Center, or at a Dempsey Center sponsored event)",,"Educational Workshop (e.g., Communicating with Your Healthcare Team, Fatigue Factor, Managing Cancer Side Effects with Cannabis/CBD, etc.)",,,,,Movement & Fitness Classes/Workshops,,,Nutrition Classes/Workshops,,,Wig & Headwear Consult,,,6-9 times,,Too long of a wait for services that I needed (when I needed them),,Times of services,,,,,,65-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I find the Lewiston center very warm and welcoming. I sometimes wish I lived closer to take advantage of just hanging out there. Now that I'm in remission, I feel a need to give back through volunteering. I haven't explored that idea very much, but it occurs to me that I haven't seen or heard much about what kind of avenues are available. I would want a volunteer situation that includes some aspect of socializing, such as working in person at the Lewiston center or gardens 2-4 times per month."
,,,,,,,,,,Massage Therapy,,,,,,,,,,6-9 times,,,,,,,,,,65-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arthritis  fibromyalgia,,,,So glad that you have these services.  I will be returning 
Acupuncture,,,,,,,,Individual Counseling,,Massage Therapy,,,,,Reiki Session,,,,,More than 10 times,,,,,,,,,,45-54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This place is amazing. What a wonderful gift for those going through such a horrible thing. It means more than words can convey to have this stuff available.
,,,,,,,,,,,,,,Nutrition Classes/Workshops,Reiki Session,,,,,2-5 times,,,,,,,,,,55-64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Dempsey Soup Program,,,,,Massage Therapy,Movement & Fitness Classes/Workshops,,,,,,,,,6-9 times,,,,,,,,,,75 or older,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thanks 
,,,"Complementary Therapies Workshops (e.g., Virtual Reiki Group, Mindfulness Meditation or Acupressure for Calm, etc.)",,,,,,,Massage Therapy,,,,,,,,,,2-5 times,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Complementary Therapies Workshops (e.g., Virtual Reiki Group, Mindfulness Meditation or Acupressure for Calm, etc.)",,,,,Individual Counseling,,Massage Therapy,Movement & Fitness Classes/Workshops,,Nutrition Consult,,,,,,,6-9 times,,,,Times of services,,,,,,55-64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Complementary Therapies Workshops (e.g., Virtual Reiki Group, Mindfulness Meditation or Acupressure for Calm, etc.)",,,"Educational Workshop (e.g., Communicating with Your Healthcare Team, Fatigue Factor, Managing Cancer Side Effects with Cannabis/CBD, etc.)",,Individual Counseling,,,,,Nutrition Consult,,,,,,,More than 10 times,,,,,,,,,,65-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,After being diagnosed the Dr I had offered absolutely no explanation or plan if action—the Dempsey Center helped set a plan of action—
,,,,,,"Educational Workshop (e.g., Communicating with Your Healthcare Team, Fatigue Factor, Managing Cancer Side Effects with Cannabis/CBD, etc.)",,,,,Movement & Fitness Classes/Workshops,,,,,,,,,More than 10 times,,,,,,,,,,65-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prefer not to answer,,,,,
,,,"Complementary Therapies Workshops (e.g., Virtual Reiki Group, Mindfulness Meditation or Acupressure for Calm, etc.)",,,,,,,,Movement & Fitness Classes/Workshops,,,,,,,,,More than 10 times,,,,,,,,,,65-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Individual Counseling,,,,,,,,,,,,More than 10 times,,,,,,,,,,65-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acupuncture,,,,,,,,,,,,,,,,,,,,2-5 times,,Too long of a wait for services that I needed (when I needed them),,,Physical location of services,Transportation,,,,45-54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Clayton’s House stay,,,,,,,,,,,Movement & Fitness Consult,,,,,,,,2-5 times,,,,,,,,,,45-54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Individual Counseling,,Massage Therapy,,,,,,,,,,1 time,,Too long of a wait for services that I needed (when I needed them),,,,,,,,35-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,It was great doing intakes with caring and supportive LCSW’s but I suggest being more transparent with availability of services individuals are reporting they’d like to access.  For my son he’s in remission now and does  not want to engage with cancer programs for emotional reasons. So though programs are available now we were clear we wanted emotional support and massage to help him  his chemo treatments. I understand needs are high and a non profits ability to deliver programs can be limited. Thank you for all that you do. Xoxo 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Movement & Fitness Classes/Workshops,,,,Reiki Session,,,,,1 time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Educational Workshop (e.g., Communicating with Your Healthcare Team, Fatigue Factor, Managing Cancer Side Effects with Cannabis/CBD, etc.)",,Individual Counseling,,,,,Nutrition Consult,Nutrition Classes/Workshops,,,,,,More than 10 times,,Too long of a wait for services that I needed (when I needed them),,,Physical location of services,,,,,45-54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Dempsey Center was not really promoted to us at the beginning of treatment. I wish there were more PR from Dempsey to all of the oncology offices/treatment facilities outside of Portland/Lewiston. It felt like our oncology team did not know enough about Dempsey and services provided. They didn't promote it b/c they weren't educated about all of the goodness that is the Dempsey Center. The midcoast seems to be in the dark about all of the services and about the virtual component. I've been spreading the word, but would love to shout it from the rooftops and get providers and patients educated! Maybe there could be in-person presentations taken to the hospitals/oncology offices? Thank you for all you do!"
