PC1,PC2,Cluster,Age
0.7701076132666731,-1.2018552181727138,1,65-74
-0.9179771456217294,-0.43942336295508094,3,55-64
0.327747365417346,-0.6342230857450182,1,75 or older
0.7701076132666731,-1.2018552181727138,1,55-64
-0.13175015908304857,-0.15049570343037946,1,65-74
-0.09014769838436537,-0.8621387100690704,1,65-74
0.12621496286218273,-1.637283458513951,1,65-74
-0.05772183397069073,-0.7791398710587243,1,55-64
-0.05772183397069073,-0.7791398710587243,1,65-74
2.704758736511723,-0.9267802846568428,2,65-74
3.553396165520063,-1.9504943599261122,2,55-64
-1.9585397586639763,-1.2100501278007578,3,55-64
-1.3575570769235412,-1.1888003383326786,3,65-74
0.7701076132666731,-1.2018552181727138,1,75 or older
1.984389802913851,-1.2048659716648806,1,75 or older
-0.1330576670484206,-1.2763171609422284,1,55-64
-0.7628354103736223,-2.3357965367815563,3,65-74
4.201616602991685,-2.229134701822909,2,75 or older
-1.3354814894781937,-0.9343048780686757,3,65-74
-0.09940096234236934,-2.663309121903144,1,
-0.7595428428776895,-1.5964994916734625,3,65-74
0.5109771825777523,-0.2117182451198913,1,65-74
-0.03649673280673602,-0.8864227712391118,1,55-64
-1.9585397586639763,-1.2100501278007578,3,65-74
-1.9207235656913024,-1.2467884168511263,3,65-74
-1.3953732698962151,-1.1520620492823104,3,55-64
3.3783366505684325,-1.6472536976078207,2,35-44
3.58534033320167,-0.20987836610199054,2,35-44
-2.15468183266014,-2.332847628630405,3,65-74
1.1630442037629147,-1.6244591603165117,1,45-54
-1.9585397586639763,-1.2100501278007578,3,65-74
-1.3066864278934271,0.10392470830257318,3,55-64
-1.1519354125905672,-1.5254825747343597,3,75 or older
-0.354810656853968,-0.3814352844366335,3,65-74
-1.095541378261069,-0.4394852082960963,3,65-74
0.5193673498639395,0.7135609166333622,1,65-74
2.6833833683709747,-1.8346574037330161,2,75 or older
4.990997743895199,-1.1686635576427848,2,55-64
2.3802092792702143,-1.2314458076048316,2,65-74
-1.38583988755989,-0.17072377179054038,3,75 or older
-0.3967515077843139,0.13562851773249784,3,65-74
0.04706150319571991,-1.9119319386070643,1,55-64
-1.095541378261069,-0.4394852082960963,3,65-74
2.604026213724143,-0.9044007257293996,2,45-54
-1.1519354125905672,-1.5254825747343597,3,65-74
2.9642781750460183,-1.487459302028474,2,45-54
-1.067240707489986,-1.1047540789426447,3,55-64
-0.4878221749356921,-2.9879965836676505,3,65-74
-1.5915153438923786,-2.2748595501119575,3,55-64
-1.9207235656913024,-1.2467884168511263,3,45-54
-0.5887689238228061,-1.467494496215912,3,35-44
-1.9585397586639763,-1.2100501278007578,3,55-64
5.730883939171024,-0.8868320059696986,2,55-64
-0.5479727470697998,-0.8677594645461584,3,65-74
0.2998321329453945,0.33169167147877837,1,65-74
-0.41538737671943665,0.20922075716068644,3,75 or older
-0.20418429950877995,-1.5305170543548035,1,75 or older
-0.8967520444577747,-0.5467062631354684,3,65-74
-1.1519354125905672,-1.5254825747343597,3,65-74
2.413865983976266,-2.6184377685657467,1,65-74
-0.364035950236926,-1.725903052001385,3,55-64
-2.15468183266014,-2.332847628630405,3,65-74
-0.09014769838436537,-0.8621387100690704,1,55-64
-1.9207235656913024,-1.2467884168511263,3,65-74
0.7701076132666731,-1.2018552181727138,1,45-54
2.6645438044554832,-0.5561600062080975,2,75 or older
-2.15468183266014,-2.332847628630405,3,65-74
0.849005033183612,-1.8237262751483996,1,55-64
-0.2916801009395286,-1.8651990828380032,1,55-64
0.36446668489560935,-1.288578126702372,1,45-54
-1.3953732698962151,-1.1520620492823104,3,55-64
0.890913854185107,-0.5762350072265706,1,55-64
-1.095541378261069,-0.4394852082960963,3,65-74
-0.8101311936831065,-0.8395785104998595,3,45-54
2.6420084822802434,-0.5022698454441701,2,55-64
-2.15468183266014,-2.332847628630405,3,55-64
-0.8967520444577747,-0.5467062631354684,3,75 or older
-1.3953732698962151,-1.1520620492823104,3,35-44
-1.1519354125905672,-1.5254825747343597,3,65-74
1.1630442037629147,-1.6244591603165117,1,75 or older
1.3460727241737636,0.0449016382080004,1,45-54
0.11083721194120628,-0.8856945893268198,1,35-44
-0.09014769838436537,-0.8621387100690704,1,65-74
-1.1393394154820298,0.18849262276097173,3,35-44
1.0166739776233213,-0.1643484294392101,1,45-54
0.3751762054672149,-2.2174316641629885,1,35-44
-0.32410596535320324,-1.9481979218483492,1,65-74
-2.15468183266014,-2.332847628630405,3,55-64
0.2485939057508828,-0.9088715658381317,1,65-74
0.9540444100995465,-2.05999880562794,1,55-64
-0.7340403487888559,-1.2975669504103076,3,75 or older
-1.3953732698962151,-1.1520620492823104,3,65-74
-0.9679448237581788,0.05719185253351193,3,65-74
-2.15468183266014,-2.332847628630405,3,75 or older
0.8748909504330834,-2.3346472857210534,1,65-74
-1.0566316657609667,-1.1987949050513713,3,35-44
-1.9585397586639763,-1.2100501278007578,3,65-74
-1.38583988755989,-0.17072377179054038,3,75 or older
0.7701076132666731,-1.2018552181727138,1,65-74
-1.1519354125905672,-1.5254825747343597,3,55-64
0.2742294565801014,-0.6969295767112508,1,45-54
-1.5799906156990646,-1.2335441617174916,3,65-74
0.11898405046355792,-0.771020750692115,1,55-64
-1.9585397586639763,-1.2100501278007578,3,25-34
-0.7214443516803186,0.41640824708502405,3,55-64
-0.8131938084553187,-1.5722154305034208,3,65-74
-0.022622451274712352,-0.7730330969773422,1,55-64
-1.5421744227263907,-1.27028245076786,3,35-44
-0.9175864256764824,-0.7063892537446235,3,55-64
0.5338824874146174,0.7747470316326961,1,55-64
-1.9585397586639763,-1.2100501278007578,3,65-74
-0.3952987446536072,-1.3442998061793687,3,65-74
0.5713182794633787,-1.0946341633333416,1,55-64
-1.3953732698962151,-1.1520620492823104,3,35-44
-1.9585397586639763,-1.2100501278007578,3,55-64
-1.9585397586639763,-1.2100501278007578,3,55-64
0.7701076132666731,-1.2018552181727138,1,65-74
-0.8967520444577747,-0.5467062631354684,3,45-54
-1.9207235656913024,-1.2467884168511263,3,45-54
-0.1406285425201212,0.14697608790835667,1,55-64
2.8257792035296903,-1.799282602234995,2,35-44
-0.32410596535320324,-1.9481979218483492,1,75 or older
-0.8101311936831065,-0.8395785104998595,3,75 or older
-1.3732976824508676,-0.897566589018307,3,75 or older
0.34583081596048654,-1.2149858872741832,1,65-74
-1.1614150029273773,-0.0660028375030316,3,45-54
-0.9492780264500346,-2.0383865907838357,3,55-64
-1.9585397586639763,-1.2100501278007578,3,55-64
-0.8967520444577747,-0.5467062631354684,3,55-64
1.1630442037629147,-1.6244591603165117,1,55-64
2.3401263863328072,-1.04063314405565,2,
-1.1393394154820298,0.18849262276097173,3,35-44
-1.9585397586639763,-1.2100501278007578,3,55-64
0.34000727230167155,-3.4107119307816394,1,55-64
-0.9116045814281954,-1.2976287957513233,3,65-74
-1.6197981545287279,-1.256782983569819,3,75 or older
1.9796147105199489,-0.2371372850178839,2,75 or older
-1.9585397586639763,-1.2100501278007578,3,65-74
-2.15468183266014,-2.332847628630405,3,65-74
0.38364700893316045,-1.251724176324552,1,25-34
1.2296554583203554,-0.6229678629956319,1,55-64
-1.9207235656913024,-1.2467884168511263,3,65-74
-1.3066864278934271,0.10392470830257318,3,55-64
2.057820587328896,-1.65788018187896,1,55-64
3.3413612913406454,-1.889418193719266,2,55-64
0.38273040741797654,0.18172534457447675,1,65-74
-0.7214443516803186,0.41640824708502405,3,65-74
0.937262413665651,0.9414765409574144,1,75 or older
3.5895398826777765,-1.4978845121847542,2,75 or older
-0.13046840321333525,-0.37287794943256364,1,75 or older
-0.9179771456217294,-0.43942336295508094,3,75 or older
-0.8487479119725713,0.6725063528715812,0,45-54
-1.9207235656913024,-1.2467884168511263,3,65-74
-0.5580104403225264,-0.5934391189045297,3,45-54
-2.15468183266014,-2.332847628630405,3,75 or older
0.3996356180611527,-0.09529786008372099,1,55-64
2.183245028995933,-0.6337966323222607,2,55-64
-0.8332824405211483,-0.018694867163365828,3,45-54
-1.3294996452299068,-1.5255444200753754,3,65-74
-2.15468183266014,-2.332847628630405,3,65-74
-0.5761729267142688,0.24648070127941926,3,45-54
-0.09014769838436537,-0.8621387100690704,1,65-74
0.04398880328272805,0.228458200343538,1,65-74
0.3151261244597217,0.35177675013753257,1,35-44
1.6720157061696825,-1.1905999954233277,1,65-74
-1.9585397586639763,-1.2100501278007578,3,65-74
-1.3066864278934271,0.10392470830257318,3,55-64
3.4442684577117264,-1.3279569663791495,2,55-64
-1.1393394154820298,0.18849262276097173,3,75 or older
2.8983040592530958,-1.5629482264144385,2,45-54
-1.9585397586639763,-1.2100501278007578,3,45-54
-1.1519354125905672,-1.5254825747343597,3,65-74
-1.1614150029273773,-0.0660028375030316,3,55-64
-1.9585397586639763,-1.2100501278007578,3,55-64
1.0717627923966815,0.5329595186925234,1,55-64
-1.3066864278934271,0.10392470830257318,3,55-64
-0.9492780264500346,-2.0383865907838357,3,55-64
-0.41691746531366336,-2.7238591663144693,1,55-64
-1.1614150029273773,-0.0660028375030316,3,55-64
1.4665399170700106,-1.3412533452193287,1,65-74
-2.15468183266014,-2.332847628630405,3,65-74
-0.4713895895478579,-0.8863113662689208,3,65-74
-2.15468183266014,-2.332847628630405,3,65-74
-1.1614150029273773,-0.0660028375030316,3,55-64
-1.9585397586639763,-1.2100501278007578,3,75 or older
1.6590550851849097,1.5472704814361484,2,55-64
1.0993158350655965,-2.2299263514335443,1,
1.497774740911646,-2.1795592353106668,1,65-74
-1.3480774865867307,-2.6482800755640072,3,35-44
0.7701076132666731,-1.2018552181727138,1,55-64
-0.07955976844295991,1.5765036586758225,0,65-74
0.9037361776724503,-2.1229099587966402,1,
2.6384427590409114,-2.575051690743744,1,55-64
1.1020589038174646,-1.1196449238252406,1,65-74
